input:input:Bucket Sort: A total of 100 groups, data volume: 505000
78 group,  Data volume: 7800 1.417 ms  Data Accept.       Accuracy: 100.000%.
79 group,  Data volume: 7900 0.999 ms  Data Accept.       Accuracy: 100.000%.
80 group,  Data volume: 8000 1.623 ms  Data Accept.       Accuracy: 100.000%.
81 group,  Data volume: 8100 1.784 ms  Data Accept.       Accuracy: 100.000%.
82 group,  Data volume: 8200 1.146 ms  Data Accept.       Accuracy: 100.000%.
83 group,  Data volume: 8300 1.049 ms  Data Accept.       Accuracy: 100.000%.
84 group,  Data volume: 8400 1.235 ms  Data Accept.       Accuracy: 100.000%.
85 group,  Data volume: 8500 1.007 ms  Data Accept.       Accuracy: 100.000%.
86 group,  Data volume: 8600 1.010 ms  Data Accept.       Accuracy: 100.000%.
87 group,  Data volume: 8700 1.067 ms  Data Accept.       Accuracy: 100.000%.
88 group,  Data volume: 8800 1.037 ms  Data Accept.       Accuracy: 100.000%.
89 group,  Data volume: 8900 1.046 ms  Data Accept.       Accuracy: 100.000%.
90 group,  Data volume: 9000 1.752 ms  Data Accept.       Accuracy: 100.000%.
91 group,  Data volume: 9100 1.137 ms  Data Accept.       Accuracy: 100.000%.
92 group,  Data volume: 9200 1.680 ms  Data Accept.       Accuracy: 100.000%.
93 group,  Data volume: 9300 1.380 ms  Data Accept.       Accuracy: 100.000%.
94 group,  Data volume: 9400 1.305 ms  Data Accept.       Accuracy: 100.000%.
95 group,  Data volume: 9500 1.310 ms  Data Accept.       Accuracy: 100.000%.
96 group,  Data volume: 9600 1.299 ms  Data Accept.       Accuracy: 100.000%.
97 group,  Data volume: 9700 1.157 ms  Data Accept.       Accuracy: 100.000%.
98 group,  Data volume: 9800 1.161 ms  Data Accept.       Accuracy: 100.000%.
99 group,  Data volume: 9900 1.460 ms  Data Accept.       Accuracy: 100.000%.
100 group,  Data volume: 10000 1.431 ms  Data Accept.       Accuracy: 100.000%.
Bucket Sort: A total of 101 groups, data volume: 515100
2026-05-15 22:49:00
1 group,  Data volume: 100 0.156 ms  Data Accept.       Accuracy: 100.000%.
2 group,  Data volume: 200 0.160 ms  Data Accept.       Accuracy: 100.000%.
3 group,  Data volume: 300 0.171 ms  Data Accept.       Accuracy: 100.000%.
4 group,  Data volume: 400 0.180 ms  Data Accept.       Accuracy: 100.000%.
5 group,  Data volume: 500 0.191 ms  Data Accept.       Accuracy: 100.000%.
6 group,  Data volume: 600 0.199 ms  Data Accept.       Accuracy: 100.000%.
7 group,  Data volume: 700 0.300 ms  Data Accept.       Accuracy: 100.000%.
8 group,  Data volume: 800 0.223 ms  Data Accept.       Accuracy: 100.000%.
9 group,  Data volume: 900 0.232 ms  Data Accept.       Accuracy: 100.000%.
10 group,  Data volume: 1000 0.239 ms  Data Accept.       Accuracy: 100.000%.
11 group,  Data volume: 1100 0.253 ms  Data Accept.       Accuracy: 100.000%.
12 group,  Data volume: 1200 0.262 ms  Data Accept.       Accuracy: 100.000%.
13 group,  Data volume: 1300 0.512 ms  Data Accept.       Accuracy: 100.000%.
14 group,  Data volume: 1400 0.301 ms  Data Accept.       Accuracy: 100.000%.
15 group,  Data volume: 1500 0.401 ms  Data Accept.       Accuracy: 100.000%.
16 group,  Data volume: 1600 0.560 ms  Data Accept.       Accuracy: 100.000%.
17 group,  Data volume: 1700 0.516 ms  Data Accept.       Accuracy: 100.000%.
18 group,  Data volume: 1800 0.483 ms  Data Accept.       Accuracy: 100.000%.
19 group,  Data volume: 1900 0.421 ms  Data Accept.       Accuracy: 100.000%.
20 group,  Data volume: 2000 0.436 ms  Data Accept.       Accuracy: 100.000%.
21 group,  Data volume: 2100 0.411 ms  Data Accept.       Accuracy: 100.000%.
22 group,  Data volume: 2200 0.365 ms  Data Accept.       Accuracy: 100.000%.
23 group,  Data volume: 2300 0.376 ms  Data Accept.       Accuracy: 100.000%.
24 group,  Data volume: 2400 0.385 ms  Data Accept.       Accuracy: 100.000%.
25 group,  Data volume: 2500 0.411 ms  Data Accept.       Accuracy: 100.000%.
26 group,  Data volume: 2600 0.467 ms  Data Accept.       Accuracy: 100.000%.
27 group,  Data volume: 2700 0.418 ms  Data Accept.       Accuracy: 100.000%.
28 group,  Data volume: 2800 0.439 ms  Data Accept.       Accuracy: 100.000%.
29 group,  Data volume: 2900 0.439 ms  Data Accept.       Accuracy: 100.000%.
30 group,  Data volume: 3000 0.450 ms  Data Accept.       Accuracy: 100.000%.
31 group,  Data volume: 3100 0.455 ms  Data Accept.       Accuracy: 100.000%.
32 group,  Data volume: 3200 0.522 ms  Data Accept.       Accuracy: 100.000%.
33 group,  Data volume: 3300 0.477 ms  Data Accept.       Accuracy: 100.000%.
34 group,  Data volume: 3400 0.487 ms  Data Accept.       Accuracy: 100.000%.
35 group,  Data volume: 3500 0.638 ms  Data Accept.       Accuracy: 100.000%.
36 group,  Data volume: 3600 0.692 ms  Data Accept.       Accuracy: 100.000%.
37 group,  Data volume: 3700 0.516 ms  Data Accept.       Accuracy: 100.000%.
38 group,  Data volume: 3800 0.567 ms  Data Accept.       Accuracy: 100.000%.
39 group,  Data volume: 3900 0.586 ms  Data Accept.       Accuracy: 100.000%.
40 group,  Data volume: 4000 0.653 ms  Data Accept.       Accuracy: 100.000%.
41 group,  Data volume: 4100 0.615 ms  Data Accept.       Accuracy: 100.000%.
